OrderID,DateKey,CustomerID,ProductID,SellerID,Quantity,UnitPrice,Discount,Tax,ShippingCost,GrossAmount,DiscountedAmount,NetAmount,TotalAmount,PaymentMethod,OrderStatus
ORD0000013,20201126,CUST026576,P00018,SELL00719,4,496.76,0.05,94.38,4.43,1987.04,99.35,1887.69,1986.5,UPI,Delivered
ORD0000014,20240122,CUST006051,P00040,SELL00672,3,523.27,0.0,188.38,8.04,1569.81,0.0,1569.81,1766.23,Debit Card,Shipped
ORD0000015,20200328,CUST025111,P00035,SELL01541,4,291.37,0.1,52.45,1.76,1165.48,116.55,1048.93,1103.14,Net Banking,Delivered
ORD0000016,20231028,CUST040957,P00028,SELL00437,4,533.12,0.25,79.97,2.58,2132.48,533.12,1599.36,1681.91,Amazon Pay,Delivered
ORD0000017,20230128,CUST000735,P00025,SELL01971,4,453.47,0.1,0.0,4.39,1813.88,181.39,1632.4900000000002,1636.88,Amazon Pay,Delivered
ORD0000018,20220521,CUST038237,P00039,SELL00132,5,547.58,0.0,0.0,10.06,2737.9,0.0,2737.9,2747.96,Amazon Pay,Delivered
ORD0000019,20240814,CUST040211,P00033,SELL01907,5,529.19,0.0,317.51,4.57,2645.95,0.0,2645.95,2968.03,Amazon Pay,Returned
ORD0000020,20200510,CUST046893,P00040,SELL00881,3,303.53,0.0,72.85,4.18,910.59,0.0,910.59,987.62,UPI,Delivered
ORD0000021,20240812,CUST041508,P00028,SELL01947,1,226.26,0.0,11.31,9.55,226.26,0.0,226.26,247.12,Credit Card,Delivered
ORD0000022,20230825,CUST048817,P00010,SELL01672,4,493.47,0.0,98.69,11.8,1973.88,0.0,1973.88,2084.37,Credit Card,Delivered
ORD0000023,20220208,CUST048828,P00003,SELL01102,5,452.12,0.0,113.03,9.62,2260.6,0.0,2260.6,2383.25,Debit Card,Delivered
ORD0000024,20201209,CUST033080,P00021,SELL01507,3,107.95,0.1,0.0,8.29,323.85,32.39,291.46000000000004,299.76,Net Banking,Delivered
ORD0000025,20240224,CUST041929,P00008,SELL01553,1,16.68,0.15,1.13,2.39,16.68,2.5,14.18,17.7,Credit Card,Delivered
ORD0000026,20231208,CUST035043,P00030,SELL00342,4,380.23,0.2,60.84,9.28,1520.92,304.18,1216.74,1286.86,Amazon Pay,Pending
ORD0000027,20220316,CUST043777,P00036,SELL01129,3,569.69,0.25,153.82,14.27,1709.07,427.27,1281.8,1449.89,Credit Card,Delivered
ORD0000028,20210120,CUST037985,P00019,SELL01796,3,138.33,0.0,49.8,3.37,414.99,0.0,414.99,468.16,Debit Card,Delivered
ORD0000029,20230430,CUST000721,P00036,SELL01715,3,381.45,0.0,205.98,8.99,1144.35,0.0,1144.35,1359.32,Credit Card,Delivered
ORD0000030,20220813,CUST008013,P00045,SELL00874,5,199.99,0.0,179.99,5.19,999.95,0.0,999.95,1185.13,UPI,Delivered
ORD0000031,20201003,CUST018693,P00046,SELL01318,2,269.8,0.0,97.13,1.49,539.6,0.0,539.6,638.22,Debit Card,Delivered
ORD0000032,20230330,CUST044089,P00006,SELL00384,4,126.5,0.1,22.77,7.01,506.0,50.6,455.4,485.18,Credit Card,Shipped
ORD0000033,20210404,CUST011946,P00047,SELL01798,2,151.95,0.05,14.44,3.5,303.9,15.2,288.7,306.64,Credit Card,Delivered
ORD0000034,20230830,CUST049225,P00046,SELL00219,1,218.74,0.0,10.94,12.22,218.74,0.0,218.74,241.9,Credit Card,Delivered
ORD0000035,20200122,CUST048518,P00021,SELL01619,5,294.8,0.1,159.19,4.08,1474.0,147.4,1326.6,1489.87,Credit Card,Shipped
ORD0000036,20200909,CUST047957,P00033,SELL01592,1,357.76,0.25,0.0,6.76,357.76,89.44,268.32,275.08,Amazon Pay,Delivered
ORD0000037,20220117,CUST043577,P00032,SELL00755,5,448.89,0.0,179.56,3.3,2244.45,0.0,2244.45,2427.31,Credit Card,Delivered
ORD0000038,20220506,CUST029566,P00015,SELL01262,4,300.89,0.0,144.43,0.43,1203.56,0.0,1203.56,1348.42,Credit Card,Delivered
ORD0000039,20240503,CUST004199,P00040,SELL00566,5,512.88,0.25,96.17,11.33,2564.4,641.1,1923.3,2030.8,Amazon Pay,Delivered
ORD0000040,20210419,CUST042096,P00010,SELL01049,2,81.82,0.1,7.36,4.47,163.64,16.36,147.27999999999997,159.11,Credit Card,Delivered
ORD0000041,20221218,CUST017203,P00035,SELL00369,3,215.9,0.0,77.72,8.45,647.7,0.0,647.7,733.87,UPI,Delivered
ORD0000042,20210525,CUST046853,P00022,SELL01983,5,574.28,0.1,129.21,2.23,2871.4,287.14,2584.26,2715.7,Debit Card,Delivered
ORD0000043,20240901,CUST020850,P00031,SELL00959,4,109.59,0.0,35.07,7.59,438.36,0.0,438.36,481.02,Amazon Pay,Delivered
ORD0000044,20240208,CUST039744,P00025,SELL00076,3,88.46,0.15,40.6,2.73,265.38,39.81,225.57,268.9,Credit Card,Cancelled
ORD0000045,20211130,CUST017434,P00035,SELL00898,4,395.64,0.05,120.27,3.89,1582.56,79.13,1503.4299999999998,1627.59,Debit Card,Delivered
ORD0000046,20220902,CUST045893,P00009,SELL00181,2,449.14,0.05,0.0,5.62,898.28,44.91,853.37,858.99,Debit Card,Delivered
ORD0000047,20241211,CUST033696,P00039,SELL01805,4,121.45,0.0,0.0,3.75,485.8,0.0,485.8,489.55,UPI,Delivered
ORD0000048,20200708,CUST032008,P00030,SELL00438,2,140.89,0.05,21.42,0.48,281.78,14.09,267.69,289.59,Debit Card,Delivered
ORD0000049,20220815,CUST011785,P00014,SELL01660,3,249.84,0.2,47.97,3.26,749.52,149.9,599.62,650.85,Debit Card,Delivered
ORD0000050,20211117,CUST001846,P00012,SELL01908,3,482.37,0.15,61.5,8.73,1447.11,217.07,1230.04,1300.27,Net Banking,Delivered
ORD0000051,20220815,CUST048348,P00047,SELL00078,3,244.83,0.25,0.0,8.07,734.49,183.62,550.87,558.94,Cash on Delivery,Delivered
ORD0000052,20210716,CUST027076,P00039,SELL00659,4,353.85,0.05,67.23,6.09,1415.4,70.77,1344.63,1417.95,Debit Card,Delivered
ORD0000053,20240509,CUST012995,P00050,SELL00962,3,324.76,0.3,34.1,0.75,974.28,292.28,682.0,716.85,Debit Card,Shipped
ORD0000054,20230621,CUST030633,P00049,SELL01002,1,491.78,0.1,53.11,5.14,491.78,49.18,442.6,500.85,Amazon Pay,Delivered
ORD0000055,20220411,CUST013482,P00044,SELL01805,4,549.22,0.05,104.35,8.22,2196.88,109.84,2087.04,2199.61,UPI,Delivered
ORD0000056,20240308,CUST030091,P00044,SELL01113,4,364.08,0.25,131.07,12.95,1456.32,364.08,1092.24,1236.26,Credit Card,Pending
ORD0000057,20230228,CUST031856,P00022,SELL00723,2,509.59,0.0,183.45,3.79,1019.18,0.0,1019.18,1206.42,Credit Card,Shipped
ORD0000058,20240217,CUST040925,P00005,SELL01920,5,182.55,0.0,45.64,12.08,912.75,0.0,912.75,970.47,UPI,Delivered
ORD0000059,20211008,CUST031615,P00016,SELL00280,3,184.7,0.3,46.54,7.98,554.1,166.23,387.87,442.39,Debit Card,Delivered
ORD0000060,20200121,CUST018312,P00027,SELL00446,2,439.8,0.0,43.98,7.55,879.6,0.0,879.6,931.13,Amazon Pay,Delivered
ORD0000061,20220420,CUST017070,P00037,SELL00106,4,593.02,0.05,405.63,9.18,2372.08,118.6,2253.48,2668.29,UPI,Shipped
ORD0000062,20200615,CUST026591,P00025,SELL00247,3,131.36,0.0,70.93,7.25,394.08,0.0,394.08,472.26,UPI,Delivered
ORD0000063,20230721,CUST006724,P00004,SELL00011,3,71.26,0.1,23.09,11.28,213.78,21.38,192.4,226.77,Credit Card,Returned
ORD0000064,20210122,CUST026258,P00037,SELL01006,5,107.11,0.05,25.44,12.92,535.55,26.78,508.77,547.13,UPI,Delivered
ORD0000065,20210823,CUST000139,P00039,SELL01242,5,417.28,0.15,88.67,9.65,2086.4,312.96,1773.44,1871.76,Amazon Pay,Returned
ORD0000066,20201111,CUST038107,P00037,SELL01704,2,559.03,0.1,50.31,11.62,1118.06,111.81,1006.25,1068.18,Amazon Pay,Delivered
ORD0000067,20200114,CUST015763,P00046,SELL01548,4,203.84,0.1,36.69,13.68,815.36,81.54,733.82,784.19,Net Banking,Delivered
ORD0000068,20200829,CUST041458,P00008,SELL00532,4,129.9,0.05,59.23,9.13,519.6,25.98,493.62,561.98,Net Banking,Delivered
ORD0000069,20220215,CUST033817,P00050,SELL01811,5,105.16,0.0,26.29,13.29,525.8,0.0,525.8,565.38,UPI,Delivered
ORD0000070,20231001,CUST041366,P00041,SELL01501,1,82.79,0.0,6.62,8.76,82.79,0.0,82.79,98.17,Debit Card,Delivered
ORD0000071,20210718,CUST005372,P00022,SELL01168,4,433.7,0.15,176.95,10.58,1734.8,260.22,1474.58,1662.11,Debit Card,Delivered
ORD0000072,20220616,CUST018135,P00011,SELL01780,3,137.1,0.0,32.9,12.88,411.3,0.0,411.3,457.08,Amazon Pay,Shipped
ORD0000073,20230925,CUST043454,P00027,SELL00749,5,582.66,0.0,233.06,14.07,2913.3,0.0,2913.3,3160.43,UPI,Shipped
ORD0000074,20200401,CUST007050,P00039,SELL00221,2,522.56,0.0,83.61,0.43,1045.12,0.0,1045.12,1129.16,Credit Card,Shipped
ORD0000075,20231022,CUST027444,P00010,SELL01964,2,354.18,0.05,80.75,2.49,708.36,35.42,672.94,756.18,Credit Card,Shipped
ORD0000076,20220813,CUST042061,P00010,SELL01119,4,437.47,0.0,314.98,8.82,1749.88,0.0,1749.88,2073.68,Credit Card,Shipped
ORD0000077,20240118,CUST016864,P00026,SELL00376,1,392.71,0.1,42.41,7.82,392.71,39.27,353.44,403.67,Debit Card,Delivered
ORD0000078,20231222,CUST028956,P00011,SELL00112,1,592.91,0.05,28.16,6.83,592.91,29.65,563.26,598.25,Cash on Delivery,Delivered
ORD0000079,20210523,CUST001710,P00009,SELL00917,2,76.97,0.0,7.7,4.91,153.94,0.0,153.94,166.55,Debit Card,Delivered
ORD0000080,20220214,CUST023701,P00007,SELL01174,1,534.31,0.1,57.71,14.47,534.31,53.43,480.88,553.06,Amazon Pay,Shipped
ORD0000081,20200204,CUST005263,P00010,SELL00371,2,402.77,0.05,38.26,13.08,805.54,40.28,765.26,816.6,UPI,Delivered
ORD0000082,20200724,CUST014979,P00030,SELL00077,3,335.1,0.1,72.38,4.24,1005.3,100.53,904.77,981.39,Amazon Pay,Shipped
ORD0000083,20230109,CUST038225,P00016,SELL01872,3,258.13,0.05,132.42,7.69,774.39,38.72,735.67,875.78,UPI,Delivered
ORD0000084,20240504,CUST028769,P00040,SELL00198,1,594.67,0.15,40.44,7.22,594.67,89.2,505.47,553.13,Debit Card,Delivered
ORD0000085,20231112,CUST049605,P00036,SELL00087,4,494.13,0.05,225.32,7.18,1976.52,98.83,1877.69,2110.19,Credit Card,Delivered
ORD0000086,20221022,CUST015624,P00017,SELL01618,4,15.47,0.05,10.58,3.91,61.88,3.09,58.790000000000006,73.28,Credit Card,Shipped
ORD0000087,20221018,CUST026490,P00017,SELL01735,4,28.59,0.0,20.58,13.02,114.36,0.0,114.36,147.96,Credit Card,Delivered
ORD0000088,20231114,CUST001370,P00023,SELL01951,5,456.58,0.15,155.24,7.48,2282.9,342.44,1940.46,2103.18,Amazon Pay,Delivered
ORD0000089,20210719,CUST043394,P00029,SELL00041,3,324.31,0.2,62.27,4.63,972.93,194.59,778.3399999999999,845.24,Debit Card,Delivered
ORD0000090,20230203,CUST039077,P00015,SELL00271,5,342.26,0.2,109.52,7.29,1711.3,342.26,1369.04,1485.85,Credit Card,Pending
ORD0000091,20241130,CUST007564,P00016,SELL00155,5,201.16,0.2,64.37,9.38,1005.8,201.16,804.64,878.39,UPI,Delivered
ORD0000092,20240209,CUST033299,P00045,SELL01704,4,555.99,0.05,253.53,1.26,2223.96,111.2,2112.76,2367.55,Net Banking,Cancelled
ORD0000093,20211203,CUST039707,P00022,SELL00861,5,138.56,0.2,27.71,7.71,692.8,138.56,554.24,589.66,UPI,Shipped
ORD0000094,20210205,CUST043458,P00048,SELL00572,4,409.78,0.0,295.04,14.29,1639.12,0.0,1639.12,1948.45,UPI,Shipped
ORD0000095,20211230,CUST001552,P00045,SELL01732,4,42.31,0.1,12.19,1.28,169.24,16.92,152.32,165.79,Amazon Pay,Delivered
ORD0000096,20240428,CUST039426,P00043,SELL01461,1,170.88,0.2,16.4,7.6,170.88,34.18,136.7,160.7,Credit Card,Delivered
ORD0000097,20200610,CUST049557,P00048,SELL00108,3,548.17,0.05,0.0,2.63,1644.51,82.23,1562.28,1564.91,UPI,Delivered
ORD0000098,20200720,CUST033386,P00036,SELL01544,4,260.91,0.0,83.49,2.86,1043.64,0.0,1043.64,1129.99,UPI,Returned
ORD0000099,20220922,CUST018449,P00028,SELL00992,5,384.56,0.15,130.75,12.62,1922.8,288.42,1634.38,1777.75,UPI,Delivered
ORD0000100,20200926,CUST012492,P00023,SELL00337,1,206.2,0.0,16.5,9.08,206.2,0.0,206.2,231.78,Credit Card,Delivered
ORD0000101,20220326,CUST015367,P00018,SELL01672,4,369.47,0.25,199.51,4.56,1477.88,369.47,1108.41,1312.48,Credit Card,Delivered
ORD0000102,20230718,CUST009929,P00014,SELL00848,1,29.37,0.0,1.47,5.45,29.37,0.0,29.37,36.29,Credit Card,Delivered
ORD0000103,20210331,CUST030254,P00045,SELL00127,2,159.82,0.05,15.18,2.55,319.64,15.98,303.66,321.39,Debit Card,Delivered
ORD0000104,20240125,CUST041994,P00031,SELL00607,4,548.39,0.0,109.68,12.26,2193.56,0.0,2193.56,2315.5,UPI,Delivered
ORD0000105,20241016,CUST034561,P00033,SELL01742,3,99.05,0.05,33.88,0.71,297.15,14.86,282.29,316.88,Credit Card,Delivered
ORD0000106,20230629,CUST028297,P00017,SELL00553,1,113.27,0.05,5.38,0.22,113.27,5.66,107.61,113.21,UPI,Delivered
ORD0000107,20221013,CUST002237,P00036,SELL00371,3,297.26,0.05,101.66,5.24,891.78,44.59,847.1899999999999,954.09,Credit Card,Pending
ORD0000108,20240921,CUST007600,P00034,SELL01189,1,483.5,0.0,38.68,4.62,483.5,0.0,483.5,526.8,Debit Card,Delivered
ORD0000109,20201022,CUST010526,P00005,SELL01545,3,127.42,0.15,16.25,1.88,382.26,57.34,324.92,343.05,Debit Card,Delivered
ORD0000110,20241014,CUST024904,P00023,SELL00617,5,520.69,0.0,130.17,9.98,2603.45,0.0,2603.45,2743.6,Net Banking,Delivered
ORD0000111,20211220,CUST033463,P00029,SELL01848,5,61.48,0.0,55.33,2.64,307.4,0.0,307.4,365.37,Amazon Pay,Delivered
ORD0000112,20241107,CUST015883,P00022,SELL01322,5,314.0,0.0,282.6,8.14,1570.0,0.0,1570.0,1860.74,Debit Card,Delivered
ORD0000113,20201203,CUST035697,P00024,SELL00915,4,189.7,0.25,28.46,13.2,758.8,189.7,569.0999999999999,610.76,Amazon Pay,Cancelled
ORD0000114,20220528,CUST010676,P00036,SELL01203,2,103.29,0.2,0.0,0.55,206.58,41.32,165.26000000000002,165.81,Amazon Pay,Shipped
ORD0000115,20221212,CUST037855,P00012,SELL01649,3,167.08,0.0,40.1,7.29,501.24,0.0,501.24,548.63,Amazon Pay,Delivered
ORD0000116,20220302,CUST013803,P00021,SELL01188,4,468.57,0.25,70.29,14.63,1874.28,468.57,1405.71,1490.63,Debit Card,Shipped
ORD0000117,20200804,CUST041291,P00042,SELL01963,2,25.31,0.0,0.0,14.69,50.62,0.0,50.62,65.31,Debit Card,Shipped
ORD0000118,20220202,CUST025351,P00006,SELL00011,2,590.96,0.05,134.74,5.5,1181.92,59.1,1122.8200000000002,1263.06,Credit Card,Delivered
ORD0000119,20200706,CUST023478,P00009,SELL01044,2,433.24,0.05,98.78,10.23,866.48,43.32,823.16,932.17,Cash on Delivery,Shipped
ORD0000120,20210114,CUST029783,P00050,SELL01527,4,187.75,0.05,128.42,9.52,751.0,37.55,713.45,851.39,Credit Card,Delivered
ORD0000121,20210507,CUST001056,P00017,SELL01639,5,230.99,0.15,117.8,10.69,1154.95,173.24,981.71,1110.2,UPI,Delivered
ORD0000122,20221130,CUST026942,P00008,SELL00632,5,246.13,0.1,0.0,9.69,1230.65,123.07,1107.5800000000002,1117.28,Amazon Pay,Shipped
ORD0000123,20230326,CUST027791,P00050,SELL00745,1,18.66,0.0,0.93,5.03,18.66,0.0,18.66,24.62,Amazon Pay,Delivered
ORD0000124,20200115,CUST019410,P00043,SELL00146,2,48.99,0.25,3.67,1.59,97.98,24.5,73.48,78.74,Amazon Pay,Delivered
ORD0000125,20200305,CUST009308,P00021,SELL00770,5,200.05,0.05,114.03,2.34,1000.25,50.01,950.24,1066.61,Credit Card,Delivered
ORD0000126,20210604,CUST004285,P00008,SELL01530,4,149.47,0.0,71.75,10.48,597.88,0.0,597.88,680.11,UPI,Delivered
ORD0000127,20230929,CUST037966,P00027,SELL01372,3,460.51,0.05,157.49,3.17,1381.53,69.08,1312.45,1473.11,Credit Card,Delivered
ORD0000128,20230226,CUST025421,P00050,SELL01574,5,141.31,0.15,72.07,14.56,706.55,105.98,600.5699999999999,687.2,Debit Card,Delivered
ORD0000129,20211009,CUST039352,P00010,SELL00583,3,204.15,0.1,66.14,10.09,612.45,61.24,551.21,627.44,Credit Card,Delivered
ORD0000130,20240204,CUST032886,P00015,SELL00736,4,577.36,0.2,92.38,4.08,2309.44,461.89,1847.55,1944.01,Debit Card,Delivered
ORD0000131,20221222,CUST014360,P00050,SELL01332,2,509.27,0.0,0.0,6.71,1018.54,0.0,1018.54,1025.25,Net Banking,Shipped
ORD0000132,20230308,CUST007708,P00028,SELL00248,3,496.12,0.0,74.42,5.91,1488.36,0.0,1488.36,1568.69,Net Banking,Returned
ORD0000133,20240302,CUST013067,P00026,SELL01907,3,497.74,0.0,179.19,7.58,1493.22,0.0,1493.22,1679.99,Credit Card,Delivered
ORD0000134,20210815,CUST046835,P00043,SELL01180,4,384.81,0.0,184.71,13.11,1539.24,0.0,1539.24,1737.06,Credit Card,Cancelled
ORD0000135,20210126,CUST011228,P00003,SELL00715,2,321.46,0.1,69.44,5.41,642.92,64.29,578.63,653.48,Cash on Delivery,Delivered
ORD0000136,20240825,CUST046806,P00013,SELL00709,5,498.26,0.05,189.34,3.64,2491.3,124.57,2366.73,2559.72,UPI,Shipped
ORD0000137,20210222,CUST014033,P00049,SELL00278,5,211.88,0.1,76.28,9.75,1059.4,105.94,953.46,1039.49,UPI,Delivered
ORD0000138,20201015,CUST040569,P00030,SELL01341,2,333.88,0.05,0.0,10.61,667.76,33.39,634.37,644.98,Credit Card,Shipped
ORD0000139,20210113,CUST041172,P00015,SELL00699,2,522.65,0.05,79.44,13.86,1045.3,52.26,993.04,1086.33,Credit Card,Delivered
ORD0000140,20241201,CUST001601,P00005,SELL01558,4,67.78,0.05,20.61,11.17,271.12,13.56,257.56,289.34,Cash on Delivery,Delivered
ORD0000141,20240222,CUST046508,P00032,SELL00940,5,22.67,0.0,0.0,13.16,113.35,0.0,113.35,126.51,Debit Card,Delivered
ORD0000142,20200818,CUST027712,P00017,SELL00796,5,544.52,0.25,245.03,2.79,2722.6,680.65,2041.95,2289.77,Cash on Delivery,Pending
ORD0000143,20221014,CUST029705,P00046,SELL00143,1,431.01,0.0,0.0,2.23,431.01,0.0,431.01,433.24,Amazon Pay,Shipped
ORD0000144,20200210,CUST008224,P00049,SELL01971,3,346.56,0.15,44.19,1.85,1039.68,155.95,883.73,929.77,Credit Card,Delivered
ORD0000145,20221117,CUST046362,P00039,SELL00338,1,87.79,0.0,15.8,10.92,87.79,0.0,87.79,114.51,Credit Card,Delivered
ORD0000146,20200514,CUST005950,P00015,SELL00864,4,596.8,0.05,272.14,2.1,2387.2,119.36,2267.84,2542.08,Credit Card,Delivered
ORD0000147,20200719,CUST037485,P00015,SELL01097,1,194.17,0.0,9.71,5.33,194.17,0.0,194.17,209.21,Credit Card,Delivered
ORD0000148,20220218,CUST027818,P00027,SELL00776,2,42.52,0.05,4.04,11.11,85.04,4.25,80.79,95.94,Credit Card,Delivered
ORD0000149,20220718,CUST048304,P00032,SELL00433,3,262.02,0.15,120.27,7.09,786.06,117.91,668.15,795.51,Credit Card,Returned
ORD0000150,20221122,CUST033670,P00009,SELL00027,3,43.8,0.0,10.51,6.23,131.4,0.0,131.4,148.14,Cash on Delivery,Shipped
ORD0000151,20221207,CUST038774,P00015,SELL00672,4,306.01,0.3,42.84,9.24,1224.04,367.21,856.8299999999999,908.91,Debit Card,Delivered
ORD0000152,20210517,CUST026880,P00029,SELL00229,4,251.6,0.1,108.69,13.75,1006.4,100.64,905.76,1028.2,Net Banking,Delivered
ORD0000153,20210210,CUST044830,P00003,SELL01889,3,431.79,0.0,64.77,11.24,1295.37,0.0,1295.37,1371.38,Credit Card,Delivered
ORD0000154,20240516,CUST040087,P00023,SELL01455,4,291.13,0.15,49.49,2.52,1164.52,174.68,989.84,1041.85,Debit Card,Delivered
ORD0000155,20241017,CUST026727,P00025,SELL00945,3,414.46,0.25,111.9,4.69,1243.38,310.85,932.53,1049.12,Amazon Pay,Delivered
ORD0000156,20220315,CUST011225,P00026,SELL00850,3,180.87,0.0,27.13,2.04,542.61,0.0,542.61,571.78,Debit Card,Delivered
ORD0000157,20200408,CUST031885,P00047,SELL01363,5,104.18,0.1,0.0,8.69,520.9,52.09,468.81,477.5,Credit Card,Shipped
ORD0000158,20211114,CUST016025,P00045,SELL01573,2,400.69,0.1,57.7,10.68,801.38,80.14,721.24,789.62,Credit Card,Pending
ORD0000159,20211226,CUST036113,P00007,SELL01598,3,479.99,0.25,129.6,8.69,1439.97,359.99,1079.98,1218.27,UPI,Delivered
ORD0000160,20240419,CUST043628,P00008,SELL00412,1,247.54,0.05,28.22,2.07,247.54,12.38,235.16,265.45,Amazon Pay,Delivered
ORD0000161,20220818,CUST020507,P00026,SELL00708,3,14.51,0.05,4.96,0.82,43.53,2.18,41.35,47.13,Credit Card,Delivered
ORD0000162,20241028,CUST012422,P00018,SELL01169,5,216.33,0.2,0.0,9.73,1081.65,216.33,865.32,875.05,Credit Card,Delivered
ORD0000163,20210904,CUST009807,P00039,SELL00551,3,38.53,0.0,5.78,8.4,115.59,0.0,115.59,129.77,Debit Card,Delivered
ORD0000164,20240125,CUST048496,P00016,SELL00141,3,465.66,0.1,62.86,0.89,1396.98,139.7,1257.28,1321.03,Amazon Pay,Returned
ORD0000165,20211004,CUST029400,P00015,SELL01482,5,35.27,0.0,21.16,12.99,176.35,0.0,176.35,210.5,Debit Card,Delivered
ORD0000166,20241127,CUST004811,P00038,SELL00910,2,82.5,0.05,18.81,13.79,165.0,8.25,156.75,189.35,Credit Card,Delivered
ORD0000167,20221025,CUST008669,P00035,SELL00243,4,298.96,0.1,86.1,3.63,1195.84,119.58,1076.26,1165.99,Amazon Pay,Delivered
ORD0000168,20230526,CUST035784,P00015,SELL01837,5,232.62,0.05,88.4,9.35,1163.1,58.16,1104.9399999999998,1202.7,Credit Card,Shipped
ORD0000169,20210517,CUST027512,P00011,SELL00878,4,493.2,0.2,189.39,3.74,1972.8,394.56,1578.24,1771.37,Net Banking,Delivered
ORD0000170,20220205,CUST023754,P00043,SELL01838,4,497.42,0.05,226.82,12.34,1989.68,99.48,1890.2,2129.36,Debit Card,Delivered
ORD0000171,20210201,CUST011579,P00050,SELL01005,1,154.24,0.05,17.58,9.86,154.24,7.71,146.53,173.97,UPI,Delivered
ORD0000172,20220520,CUST003082,P00024,SELL00319,3,497.52,0.15,228.36,0.91,1492.56,223.88,1268.6799999999998,1497.95,Credit Card,Delivered
ORD0000173,20220305,CUST040193,P00025,SELL00210,4,64.53,0.0,0.0,13.67,258.12,0.0,258.12,271.79,Amazon Pay,Delivered
ORD0000174,20210127,CUST014061,P00020,SELL00101,4,331.21,0.0,66.24,5.9,1324.84,0.0,1324.84,1396.98,Net Banking,Delivered
ORD0000175,20200725,CUST028212,P00015,SELL01555,4,155.87,0.1,28.06,7.79,623.48,62.35,561.13,596.98,Credit Card,Delivered
ORD0000176,20221104,CUST010967,P00004,SELL00727,1,598.75,0.1,26.94,3.35,598.75,59.88,538.87,569.17,Credit Card,Returned
ORD0000177,20240426,CUST022674,P00036,SELL00062,5,489.41,0.05,278.96,7.24,2447.05,122.35,2324.7000000000003,2610.9,Amazon Pay,Delivered
ORD0000178,20220610,CUST048983,P00006,SELL00530,4,131.22,0.1,0.0,14.12,524.88,52.49,472.39,486.51,Debit Card,Delivered
ORD0000179,20240124,CUST016133,P00014,SELL00395,2,176.38,0.05,26.81,11.05,352.76,17.64,335.12,372.98,Net Banking,Delivered
ORD0000180,20240910,CUST044928,P00001,SELL00811,1,418.7,0.3,23.45,4.48,418.7,125.61,293.09,321.02,UPI,Delivered
ORD0000181,20240517,CUST024560,P00010,SELL00296,2,531.4,0.0,127.54,4.49,1062.8,0.0,1062.8,1194.83,Cash on Delivery,Delivered
ORD0000182,20220513,CUST019814,P00050,SELL01602,5,341.7,0.1,276.78,1.7,1708.5,170.85,1537.65,1816.13,Amazon Pay,Delivered
ORD0000183,20220112,CUST015222,P00016,SELL00166,2,375.82,0.05,35.7,13.55,751.64,37.58,714.06,763.31,Amazon Pay,Returned
ORD0000184,20230618,CUST015733,P00025,SELL00041,3,99.26,0.0,23.82,5.19,297.78,0.0,297.78,326.79,UPI,Shipped
ORD0000185,20210717,CUST023655,P00026,SELL00773,2,572.09,0.0,91.53,2.64,1144.18,0.0,1144.18,1238.35,Credit Card,Shipped
ORD0000186,20221017,CUST021204,P00042,SELL01469,2,495.32,0.0,49.53,10.01,990.64,0.0,990.64,1050.18,Credit Card,Pending
ORD0000187,20200405,CUST016221,P00049,SELL00701,2,190.82,0.2,15.27,7.58,381.64,76.33,305.31,328.16,Debit Card,Delivered
